title,H,(H),(Hd) ,А ,(А),Ad ,At ,Sex ,Obj ,Aobj ,Aat ,Food ,N ,Geo ,PI ,Arch ,Art ,Abs ,ВІ ,Ті,Cl
"Внутренние органы панды, маленький желудок и печень.",,,,,,,,,,,1,,,,,,,,,,
"Внутренние органы орла, мощное сердце и легкие.",,,,,,,,,,,1,,,,,,,,,,
"Сердце, печень и желудок медведя.",,,,,,,,,,,1,,,,,,,,,,
"Внутренние органы гепарда, мощный желудок и сердце.",,,,,,,,,,,1,,,,,,,,,,
"Внутренние органы тюленя, желудок и кишечник.",,,,,,,,,,,1,,,,,,,,,,
"Внутренние органы жирафа, многослойный пищеварительный тракт и сердце.",,,,,,,,,,,1,,,,,,,,,,
"Сердце, печень и желудок зебры.",,,,,,,,,,,1,,,,,,,,,,
"Внутренние органы кролика, маленькое сердце и кишечник.",,,,,,,,,,,1,,,,,,,,,,
"Внутренние органы лисицы, маленький желудок и печень.",,,,,,,,,,,1,,,,,,,,,,
"Внутренние органы дельфина, мощное сердце и легкие.",,,,,,,,,,,1,,,,,,,,,,
"Сердце, печень и желудок слона.",,,,,,,,,,,1,,,,,,,,,,
"Внутренние органы тигра, мощный желудок и сердце.",,,,,,,,,,,1,,,,,,,,,,
"Внутренние органы оленя, маленькое сердце и печень.",,,,,,,,,,,1,,,,,,,,,,
"Внутренние органы кита, огромное сердце и легкие.",,,,,,,,,,,1,,,,,,,,,,
"Сердце, печень и желудок кенгуру.",,,,,,,,,,,1,,,,,,,,,,
"Внутренние органы пингвина, маленькое сердце и желудок.",,,,,,,,,,,1,,,,,,,,,,
"Внутренние органы медведя, мощный желудок и печень.",,,,,,,,,,,1,,,,,,,,,,
"Внутренние органы тигра, мощное сердце и легкие.",,,,,,,,,,,1,,,,,,,,,,
"Сердце, печень и желудок жирафа.",,,,,,,,,,,1,,,,,,,,,,
"Внутренние органы кошки, маленькое сердце и кишечник.",,,,,,,,,,,1,,,,,,,,,,
"Сердце, печень и желудок крокодила.",,,,,,,,,,,1,,,,,,,,,,
"Внутренние органы кенгуру, маленький желудок и большая кишка.",,,,,,,,,,,1,,,,,,,,,,
"Внутренние органы птицы, сердце, желудок и печень.",,,,,,,,,,,1,,,,,,,,,,
"Внутренние органы слона, огромное сердце и легкие.",,,,,,,,,,,1,,,,,,,,,,
"Внутренние органы змеи, длинный пищеварительный тракт и сердце.",,,,,,,,,,,1,,,,,,,,,,
Раздутый кишечник и большая печень у лося.,,,,,,,,,,,1,,,,,,,,,,
Хорошо видны сердце и лёгкие у волка.,,,,,,,,,,,1,,,,,,,,,,
Тонкий желудок с остатками пищи у совы.,,,,,,,,,,,1,,,,,,,,,,
Тёмная крупная печень у барсука.,,,,,,,,,,,1,,,,,,,,,,
Обнажены большой желудок и толстый кишечник у лошади.,,,,,,,,,,,1,,,,,,,,,,
Вытянутый кишечник и раздутый желудок у кабана.,,,,,,,,,,,1,,,,,,,,,,
"Лёгкие, сердце и печень хорошо видны у медведя.",,,,,,,,,,,1,,,,,,,,,,
Желудок и кишечник выпали у рыси.,,,,,,,,,,,1,,,,,,,,,,
Сердце плотно прилегает к лёгким у орла.,,,,,,,,,,,1,,,,,,,,,,
Тонкая печень и раздутый желудок у зайца.,,,,,,,,,,,1,,,,,,,,,,
Маленькое сердце и миниатюрная печень у белки.,,,,,,,,,,,1,,,,,,,,,,
Раздутый кишечник и большая селезёнка у шакала.,,,,,,,,,,,1,,,,,,,,,,
"Сердце, желудок и печень хорошо видны у крокодила.",,,,,,,,,,,1,,,,,,,,,,
Сплюснутый желудок и длинный кишечник у енота.,,,,,,,,,,,1,,,,,,,,,,
Тёмная печень и маленькое сердце у крота.,,,,,,,,,,,1,,,,,,,,,,
Сердце почти полностью залито кровью у бурого медведя.,,,,,,,,,,,1,,,,,,,,,,
Лёгкие и небольшая печень обнажены у совы.,,,,,,,,,,,1,,,,,,,,,,
Длинный спиралевидный кишечник у куницы.,,,,,,,,,,,1,,,,,,,,,,
Раздутый желудок и плотная печень у ежика.,,,,,,,,,,,1,,,,,,,,,,
"Сердце, печень и желудок хорошо различимы у жирафа.",,,,,,,,,,,1,,,,,,,,,,
Крошечное сердце и тонкий кишечник у мыши.,,,,,,,,,,,1,,,,,,,,,,
Вытянутый желудок и тёмная печень у хорька.,,,,,,,,,,,1,,,,,,,,,,
Огромное сердце и толстые лёгкие у слона.,,,,,,,,,,,1,,,,,,,,,,
Небольшой желудок и раздутый кишечник у кенгуру.,,,,,,,,,,,1,,,,,,,,,,
"Сердце, печень и раздутый желудок у страуса.",,,,,,,,,,,1,,,,,,,,,,
Раздутый кишечник и сероватая печень у кабана.,,,,,,,,,,,1,,,,,,,,,,
Маленькое сердце и компактный кишечник у рыбы.,,,,,,,,,,,1,,,,,,,,,,
Массивная печень и вытянутые лёгкие у тигра.,,,,,,,,,,,1,,,,,,,,,,
Длинный пищеварительный тракт и сердце у змеи.,,,,,,,,,,,1,,,,,,,,,,
Лёгкие и сердце обнажены у утки.,,,,,,,,,,,1,,,,,,,,,,
Большое сердце и тонкий кишечник у лебедя.,,,,,,,,,,,1,,,,,,,,,,
Печень почти сливается с желудком у курицы.,,,,,,,,,,,1,,,,,,,,,,
Раздутый кишечник и плотная печень у гуся.,,,,,,,,,,,1,,,,,,,,,,
Сердце хорошо отделено от печени у собаки.,,,,,,,,,,,1,,,,,,,,,,
Раздутый желудок и толстый кишечник выпали у козла.,,,,,,,,,,,1,,,,,,,,,,
Несколько отделов желудка и толстая кишка у коровы.,,,,,,,,,,,1,,,,,,,,,,
Крупная печень и длинный кишечник у овцы.,,,,,,,,,,,1,,,,,,,,,,
Сердце и лёгкие частично разорваны у вепря.,,,,,,,,,,,1,,,,,,,,,,
Яркая печень и раздутый кишечник у лани.,,,,,,,,,,,1,,,,,,,,,,
Крупный желудок и толстая кишка выпали у оленя.,,,,,,,,,,,1,,,,,,,,,,
Небольшое сердце и тёмная печень у дикой кошки.,,,,,,,,,,,1,,,,,,,,,,
"Лёгкие распластаны, сердце обнажено у гепарда.",,,,,,,,,,,1,,,,,,,,,,
Тёмная печень и массивный желудок у пантеры.,,,,,,,,,,,1,,,,,,,,,,
Маленькое сердце и тонкий кишечник у лемура.,,,,,,,,,,,1,,,,,,,,,,
Крошечное сердце и спиральный кишечник у крысы.,,,,,,,,,,,1,,,,,,,,,,
Печень почти сливается с лёгкими у летучей мыши.,,,,,,,,,,,1,,,,,,,,,,
Раздутый желудок и тонкий кишечник выпали у пеликана.,,,,,,,,,,,1,,,,,,,,,,
Сердце и длинная трахея обнажены у ворона.,,,,,,,,,,,1,,,,,,,,,,
Плотная печень и округлый желудок у ястреба.,,,,,,,,,,,1,,,,,,,,,,
Сердце и печень почти соприкасаются у сороки.,,,,,,,,,,,1,,,,,,,,,,
Вздутый кишечник и сплюснутая печень у кролика.,,,,,,,,,,,1,,,,,,,,,,
Массивные лёгкие и крупная печень у белого медведя.,,,,,,,,,,,1,,,,,,,,,,
Толстый кишечник и желудок выпирают у зубра.,,,,,,,,,,,1,,,,,,,,,,
"Сердце утоплено в груди, печень выпирает у буйвола.",,,,,,,,,,,1,,,,,,,,,,
Полный желудок и раздутый кишечник у оленя.,,,,,,,,,,,1,,,,,,,,,,
Маленькое сердце и лёгкий кишечник у тушканчика.,,,,,,,,,,,1,,,,,,,,,,
Крупная и раздутая печень у моржа.,,,,,,,,,,,1,,,,,,,,,,
"Сердце, печень и лёгкие обнажены у тюленя.",,,,,,,,,,,1,,,,,,,,,,
Раздутый желудок и плотная печень у ламы.,,,,,,,,,,,1,,,,,,,,,,
Массивные лёгкие и печень у ягуара.,,,,,,,,,,,1,,,,,,,,,,
Аппетитные кусочки курицы в хрустящей панировке.,,,,,,,,,,,,1,,,,,,,,,
Сочные ломтики стейка с ароматными специями.,,,,,,,,,,,,1,,,,,,,,,
Яйца пашот на подушке из авокадо и ржаного хлеба.,,,,,,,,,,,,1,,,,,,,,,
Ломтики запечённой индейки с розмарином и чесноком.,,,,,,,,,,,,1,,,,,,,,,
Кремовое мороженое с кусочками шоколада и орехов.,,,,,,,,,,,,1,,,,,,,,,
Мясные рулетики с сырной начинкой.,,,,,,,,,,,,1,,,,,,,,,
"Пикантные колбаски, обжаренные с луком.",,,,,,,,,,,,1,,,,,,,,,
Сливочный паштет из печени с травами.,,,,,,,,,,,,1,,,,,,,,,
Нежное суфле из творога с ванилью.,,,,,,,,,,,,1,,,,,,,,,
"Бекон, запечённый до хруста с мёдом.",,,,,,,,,,,,1,,,,,,,,,
Тёплый омлет с сыром и зеленью.,,,,,,,,,,,,1,,,,,,,,,
Сочные фрикадельки в сливочно-грибном соусе.,,,,,,,,,,,,1,,,,,,,,,
Сырный пирог с кусочками ветчины.,,,,,,,,,,,,1,,,,,,,,,
Холодец с горчицей и хреном.,,,,,,,,,,,,1,,,,,,,,,
Сырное фондю с хрустящим хлебом.,,,,,,,,,,,,1,,,,,,,,,
Крем-брюле с карамелизованной корочкой.,,,,,,,,,,,,1,,,,,,,,,
Сочные кусочки ягнёнка на гриле.,,,,,,,,,,,,1,,,,,,,,,
Салями с маринованными огурчиками.,,,,,,,,,,,,1,,,,,,,,,
Запечённая скумбрия с лимоном и укропом.,,,,,,,,,,,,1,,,,,,,,,
Пломбир с клубничным вареньем и вафлями.,,,,,,,,,,,,1,,,,,,,,,
Свежий сочный стейк.,,,,,,,,,,,,1,,,,,,,,,
"Разнообразные виды сыров — бри, чеддер, гауда — на деревянной доске.",,,,,,,,,1,,,1,,,,,,,,,
Разноцветные овощные шашлыки.,,,,,,,,,,,,1,,,,,,,,,
"Аппетитные креветки, обжаренные с чесноком и петрушкой.",,,,,,,,,,,,1,,,,,,,,,
Кусочки шоколадного торта с ягодами и шоколадной глазурью.,,,,,,,,,,,,1,,,,,,,,,
"Ароматный французский багет, свежеиспечённый и хрустящий.",,,,,,,,,,,,1,,,,,,,,,
"Целая рыба, запечённая с лимоном и травами, на деревянном подносе.",,,,,,,,,1,,,1,,,,,,,,,
Аппетитные кусочки свежего лосося на листе салата.,,,,,,,,,,,,1,,,,,,,,,
Разноцветные суши на белой керамической тарелке.,,,,,,,,,1,,,1,,,,,,,,,
"Сочные гамбургеры с мясом, сыром, овощами и горчичным соусом.",,,,,,,,,,,,1,,,,,,,,,
Хрустящие кусочки куриного филе с соусом.,,,,,,,,,,,,1,,,,,,,,,
Сытный тыквенный суп с красным перцем и зеленью.,,,,,,,,,,,,1,,,,,,,,,
Кусочки пиццы с ароматными начинками и расплавленным сыром.,,,,,,,,,,,,1,,,,,,,,,
Разноцветные фруктовые салаты в стеклянных бокалах с веточками мяты.,,,,,,,,,1,,,1,,,,,,,,,
Сладкий ватрушечный пирог с ароматными яблоками и корицей.,,,,,,,,,,,,1,,,,,,,,,
"Роллы с крабовым мясом, авокадо и огурцом, поданные с имбирём и васаби.",,,,,,,,,,,,1,,,,,,,,,
"Свежие морепродукты — кальмары, мидии и креветки на льду.",,,,,,,,,,,,1,,,,,,,,,
"Ароматное карри с курицей, овощами и кокосовым молоком.",,,,,,,,,,,,1,,,,,,,,,
"Кремовый чизкейк, украшенный ягодами.",,,,,,,,,,,,1,,,,,,,,,
Горячий шоколадный пирог с жидким сердцем и шариком мороженого.,,,,,,,,,,,,1,,,,,,,,,
Аппетитные кусочки свежего лаваша с хумусом и овощами.,,,,,,,,,,,,1,,,,,,,,,
Разноцветные сладкие мармеладные конфеты на стеклянной тарелке.,,,,,,,,,1,,,1,,,,,,,,,
Душистый фаршированный перец с мясной начинкой и томатным соусом.,,,,,,,,,,,,1,,,,,,,,,
Аппетитные кусочки хрустящего французского круассана.,,,,,,,,,,,,1,,,,,,,,,
Пышные вафельные сосиски.,,,,,,,,,,,,1,,,,,,,,,
"Кусочки лосося, запечённые с лимоном и зеленью.",,,,,,,,,,,,1,,,,,,,,,
Разноцветные шарики мороженого с шоколадным и клубничным соусом.,,,,,,,,,,,,1,,,,,,,,,
"Ароматный брускетта с помидорами, базиликом и оливковым маслом.",,,,,,,,,,,,1,,,,,,,,,
Аппетитные кусочки картофельного пюре с зеленью.,,,,,,,,,,,,1,,,,,,,,,
"Свежие и сочные бургеры с говяжьей котлетой, сыром и овощами.",,,,,,,,,,,,1,,,,,,,,,
Горячий ароматный борщ с красным перцем и сметаной.,,,,,,,,,,,,1,,,,,,,,,
Аппетитные кусочки пасты с томатным соусом и пармезаном.,,,,,,,,,,,,1,,,,,,,,,
"Разноцветные макаронные изделия — спагетти, фарфалле и пенне — на деревянной доске.",,,,,,,,,1,,,1,,,,,,,,,
"Ароматная мясная пицца с перцем, пепперони и сыром.",,,,,,,,,,,,1,,,,,,,,,
"Свежие овощные салаты с огурцами, помидорами и зеленью.",,,,,,,,,,,,1,,,,,,,,,
"Ароматный чесночный хлеб, нарезанный на ломтики.",,,,,,,,,,,,1,,,,,,,,,
Аппетитные кусочки грильяжа с орехами и карамелью.,,,,,,,,,,,,1,,,,,,,,,
Разноцветные фруктовые коктейли с веточкой мяты.,,,,,,,,,,,,1,,,,,,,,,
"Аппетитные кусочки тортильи с авокадо, сыром и овощами.",,,,,,,,,,,,1,,,,,,,,,
Соблазнительные кусочки творожного чизкейка с клубникой.,,,,,,,,,,,,1,,,,,,,,,
Свежий и ароматный картофельный суп в керамической тарелке.,,,,,,,,,1,,,1,,,,,,,,,
Аппетитный рисовый пудинг с корицей и сахаром.,,,,,,,,,,,,1,,,,,,,,,
Соблазнительные кусочки брауни с грецкими орехами и шоколадной глазурью.,,,,,,,,,,,,1,,,,,,,,,
Разноцветные фруктовые соки в стеклянных бокалах с ломтиками фруктов.,,,,,,,,,1,,,1,,,,,,,,,
Аппетитные кусочки пасты с морепродуктами и лимоном на белой тарелке.,,,,,,,,,1,,,1,,,,,,,,,
Аппетитные кусочки сыра фета на листе салата.,,,,,,,,,,,,1,,,,,,,,,
Сладкие и ароматные кексы с кусочками шоколада и орехами.,,,,,,,,,,,,1,,,,,,,,,
Аппетитные кусочки тунца с соевым соусом и кунжутом.,,,,,,,,,,,,1,,,,,,,,,
Разноцветные фруктовые коктейли с дольками ананаса и мятой.,,,,,,,,,,,,1,,,,,,,,,
Аппетитные кусочки лаваша с овощами и куриным мясом.,,,,,,,,,,,,1,,,,,,,,,
Ароматные и свежие булочки с маком.,,,,,,,,,,,,1,,,,,,,,,
Аппетитный куриный суп с лапшой и овощами в глиняной миске.,,,,,,,,,1,,,1,,,,,,,,,
Сочные кусочки пикантной пепперони на пицце.,,,,,,,,,,,,1,,,,,,,,,
"Разноцветные фруктовые десерты с ананасом, яблоками и гранатом.",,,,,,,,,,,,1,,,,,,,,,
Аппетитные кусочки медового торта с орехами и ягодами.,,,,,,,,,,,,1,,,,,,,,,
Ароматные и сочные мидии с чесноком и зеленью.,,,,,,,,,,,,1,,,,,,,,,
Аппетитные кусочки творожного пирога с вишнями и мятой.,,,,,,,,,,,,1,,,,,,,,,
Разноцветные фруктовые салаты с ягодами и фруктами.,,,,,,,,,,,,1,,,,,,,,,
Аппетитные кусочки кремового пирога с клубникой и мятой.,,,,,,,,,,,,1,,,,,,,,,
Ароматный и сочный лимонный кекс с лимонной цедрой.,,,,,,,,,,,,1,,,,,,,,,
Аппетитные кусочки морковного пирога с ванильным кремом и орехами.,,,,,,,,,,,,1,,,,,,,,,
Разноцветные свежевыжатые фруктовые соки в стеклянных бокалах.,,,,,,,,,1,,,1,,,,,,,,,
Аппетитные кусочки черничного пирога с крошкой и мятой.,,,,,,,,,,,,1,,,,,,,,,
Аппетитные кусочки тыквенного пирога с корицей и ванильным соусом.,,,,,,,,,,,,1,,,,,,,,,
Свежие и сочные гранатовые зерна на чёрной подложке.,,,,,,,,,1,,,1,,,,,,,,,
Разноцветные фруктовые салаты с мятными листьями и дольками лайма.,,,,,,,,,,,,1,,,,,,,,,
Аппетитные кусочки малинового пирога с взбитыми сливками.,,,,,,,,,,,,1,,,,,,,,,
Ароматные и сочные грецкие орехи на деревянной доске.,,,,,,,,,1,,,1,,,,,,,,,
Аппетитные кусочки клубничного пирога с ванильным кремом и мятой.,,,,,,,,,,,,1,,,,,,,,,
Разноцветные фруктовые салаты с дольками апельсина и киви.,,,,,,,,,,,,1,,,,,,,,,
Аппетитные кусочки черешневого пирога с мякотью и взбитыми сливками.,,,,,,,,,,,,1,,,,,,,,,
Аппетитные кусочки вишнёвого пирога с ванильным кремом и миндалём.,,,,,,,,,,,,1,,,,,,,,,
Разноцветные фруктовые салаты с кусочками маракуйи и дольками манго.,,,,,,,,,,,,1,,,,,,,,,
Аппетитные кусочки пирога с чёрной смородиной и взбитыми сливками.,,,,,,,,,,,,1,,,,,,,,,
Аппетитные кусочки малинового пирога с мятой и малиновым вареньем.,,,,,,,,,,,,1,,,,,,,,,
Разноцветные фруктовые салаты с кусочками ананаса и дольками персика.,,,,,,,,,,,,1,,,,,,,,,
Аппетитные кусочки черешневого пирога с ванильным кремом и миндалём.,,,,,,,,,,,,1,,,,,,,,,
Нежный омлет с зеленью и сыром.,,,,,,,,,,,,1,,,,,,,,,
Хрустящий бекон на завтрак.,,,,,,,,,,,,1,,,,,,,,,
Тонкие ломтики прошутто на мраморной тарелке.,,,,,,,,,1,,,1,,,,,,,,,
Золотистые куриные крылышки в остром соусе.,,,,,,,,,,,,1,,,,,,,,,
Карамельное мороженое с орешками в вафельном рожке.,,,,,,,,,,,,1,,,,,,,,,
Сливочный чизкейк с клубничным соусом.,,,,,,,,,,,,1,,,,,,,,,
Сочное карпаччо из говядины с каплями оливкового масла.,,,,,,,,,,,,1,,,,,,,,,
Большая тарелка ароматной пасты с морепродуктами.,,,,,,,,,1,,,1,,,,,,,,,
Сладкий шоколадный мусс в прозрачном стакане.,,,,,,,,,1,,,1,,,,,,,,,
Запечённая утка с хрустящей корочкой и яблоками.,,,,,,,,,,,,1,,,,,,,,,
Острые куриные наггетсы с соусом барбекю.,,,,,,,,,,,,1,,,,,,,,,
Мороженое фисташковое с дроблёными орехами.,,,,,,,,,,,,1,,,,,,,,,
Свиные рёбрышки в медово-горчичном маринаде.,,,,,,,,,,,,1,,,,,,,,,
Кремовый пломбир в нежной сахарной вафле.,,,,,,,,,,,,1,,,,,,,,,
Бараньи котлеты на гриле с розмарином.,,,,,,,,,,,,1,,,,,,,,,
Горячий сырный суп с гренками.,,,,,,,,,,,,1,,,,,,,,,
Кусочек ванильного торта с лёгким кремом.,,,,,,,,,,,,1,,,,,,,,,
Маленькие тарталетки с паштетом из печени.,,,,,,,,,,,,1,,,,,,,,,
"Бургер с сочной котлетой, сыром и карамелизированным луком.",,,,,,,,,,,,1,,,,,,,,,
Холодный ягодный сорбет в стеклянной пиале.,,,,,,,,,1,,,1,,,,,,,,,
Бифштекс с перцем и картофельным пюре.,,,,,,,,,,,,1,,,,,,,,,
Печёные устрицы с чесночным маслом.,,,,,,,,,,,,1,,,,,,,,,
Яйца бенедикт с голландским соусом.,,,,,,,,,,,,1,,,,,,,,,
Горы тонут в тумане.,,,,,,,,,,,,,1,,,,,,,,
Лес растянулся зелёным ковром.,,,,,,,,,,,,,1,,,,,,,,
"Озеро сверкает на солнце, как зеркало.",,,,,,,,,,,,,1,,,,,,,,
Облака плывут над бескрайними полями.,,,,,,,,,,,,,1,,,,,,,,1
Деревня купается в закатном свете.,,,,,,,,,,,,,1,,,,,,,,
Песчаные дюны уходят к горизонту.,,,,,,,,,,,,,1,,,,,,,,
Река сверкает золотом в лучах заката.,,,,,,,,,,,,,1,,,,,,,,
Холмы окрашены в тёплые оттенки оранжевого.,,,,,,,,,,,,,1,,,,,,,,
Берег омывается мягкими волнами.,,,,,,,,,,,,,1,,,,,,,,
Солнце исчезает за линией горизонта.,,,,,,,,,,,,,1,,,,,,,,
Цветущие поля расстилаются пёстрым ковром.,,,,,,,,,,,,,1,,,,,,,,
Стаи птиц скользят по небу.,,,,1,,,,,,,,,1,,,,,,,,
Линии дорог теряются в дали.,,,,,,,,,,,,,1,,,,,,,,
Горный хребет пылает алыми красками заката.,,,,,,,,,,,,,1,,,,,,,,
Тени деревьев удлиняются с заходом солнца.,,,,,,,,,,,,,1,,1,,,,,,
Скалы возвышаются над лазурной водой.,,,,,,,,,,,,,1,,,,,,,,
Ледяное озеро блестит в лучах вечернего солнца.,,,,,,,,,,,,,1,,,,,,,,
Залив залит мягким розовым светом.,,,,,,,,,,,,,1,,,,,,,,
Воздушные шары парят над полями.,,,,,,,,,1,,,,1,,,,,,,,
Долина купается в золотистом свете.,,,,,,,,,,,,,1,,,,,,,,
Горы покрыты белоснежным покрывалом и тянутся к небу.,,,,,,,,,,,,,1,,,,,,,,
Под лазурным небом раскинулся луг с яркими полевыми цветами.,,,,,,,,,,,,,1,,1,,,,,,
Закатное небо окрашивает облака в огненные оттенки.,,,,,,,,,,,,,1,,,,,,,1,1
Туманное утро на озере с зеркальной гладью и отражением сосен.,,,,,,,,,,,,,1,,1,,,,,,
Лес укутан в зелень.,,,,,,,,,,,,,1,,,,,,,,
Водопад обрушивает воду среди зелёных джунглей.,,,,,,,,,,,,,1,,,,,,,,
Прилив заливает песчаный пляж шелковистыми волнами.,,,,,,,,,,,,,1,,,,,,,,
Зимний лес украшен снежными кристаллами.,,,,,,,,,,,,,1,,,,,,,,
Рассвет над океаном окрашивает тучи в розовые цвета.,,,,,,,,,,,,,1,,,,,,,,1
"Скалистый берег тонет в сумерках, волны ласкают утёсы.",,,,,,,,,,,,,1,,,,,,,,
Поля тянутся до горизонта.,,,,,,,,,,,,,1,,,,,,,,
"Луг, покрытый росой, сверкает под утренним солнцем.",,,,,,,,,,,,,1,,,,,,,,
Город окружён холмами.,,,,,,,,,,,,,1,,,,,,,,
Пустыня простирается к далёким горизонтам.,,,,,,,,,,,,,1,,,,,,,,
Река медленно петляет среди лугов.,,,,,,,,,,,,,1,,,,,,,,
Каскады водопадов сливаются в единую гармонию.,,,,,,,,,,,,,1,,,,,,,,
Лесной пруд сверкает под солнечными лучами.,,,,,,,,,,,,,1,,,,,,,,
Грозовое небо озаряется молниями над полями.,,,,,,,,,,,,,1,,,,,,,,
Поляна усеяна цветами.,,,,,,,,,,,,,1,,1,,,,,,
Горная вершина пробивает облака.,,,,,,,,,,,,,1,,,,,,,,1
"Волнорез разбивает прибой, создавая белые пенные узоры.",,,,,,,,,,,,,1,,,,,,,,
Остров окружён синими волнами.,,,,,,,,,,,,,1,,,,,,,,
Скалистый утёс возвышается над морем.,,,,,,,,,,,,,1,,,,,,,,
Лесная тропа уходит вдаль.,,,,,,,,,,,,,1,,,,,,,,
Полярное сияние раскрашивает небо зелёными и фиолетовыми красками.,,,,,,,,,,,,,1,,,,,,,,
Лесной ручей шепчет среди зелёных деревьев.,,,,,,,,,,,,,1,,1,,,,,,
Бушующие волны разбиваются о скалистый берег.,,,,,,,,,,,,,1,,,,,,,,
Озеро отражает небо на своей поверхности.,,,,,,,,,,,,,1,,,,,,,,
Луг покрыт утренней росой.,,,,,,,,,,,,,1,,,,,,,,
Закат окрашивает пустынный берег в золотые оттенки.,,,,,,,,,,,,,1,,,,,,,,
Горный хребет тянется вдаль.,,,,,,,,,,,,,1,,,,,,,,
Поля усыпаны пурпурными цветами лаванды.,,,,,,,,,,,,,1,,1,,,,,,
"Ледник тянется между горами, словно живой змей.",,,,,,,,,,,,,1,,,,,,,,
Лес окутан густым туманом.,,,,,,,,,,,,,1,,,,,,,,
Река течёт среди цветущих полей.,,,,,,,,,,,,,1,,,,,,,,
Город окружён горами.,,,,,,,,,,,,,1,,,,,,,,
Поля покрыты золотистыми колосьями.,,,,,,,,,,,,,1,,1,,,,,,
Городской парк залит мягким светом.,,,,,,,,,,,,,1,,,,,,,,
Океан простирается до самого горизонта.,,,,,,,,,,,,,1,,,,,,,,
Грозовые облака нависли над горами.,,,,,,,,,,,,,1,,,,,,,,1
Волны играют на пляже.,,,,,,,,,,,,,1,,,,,,,,
Закатное небо сияет золотом и розовым над озером.,,,,,,,,,,,,,1,,,,,,,,
Горы покрыты густым лесом.,,,,,,,,,,,,,1,,,,,,,,
На лугу пасутся овцы.,,,,1,,,,,,,,,1,,,,,,,,
Зимний лес усыпан снегом.,,,,,,,,,,,,,1,,,,,,,,
Поля залиты светом луны.,,,,,,,,,,,,,1,,,,,,,,
Прибрежный лес шумит ветром.,,,,,,,,,,,,,1,,,,,,,,
Остров утопает в зелени.,,,,,,,,,,,,,1,,,,,,,,
Горы окружены облаками.,,,,,,,,,,,,,1,,,,,,,,1
Река петляет среди холмов.,,,,,,,,,,,,,1,,,,,,,,
Поля укрыты снегом.,,,,,,,,,,,,,1,,,,,,,,
Парусник парит над океаном.,,,,,,,,,,,,,1,,,,,,,,
Горный хребет скрывается в густом тумане.,,,,,,,,,,,,,1,,,,,,,,
Лес простирается до горизонта.,,,,,,,,,,,,,1,,,,,,,,
Водопад шумит среди каменных скал.,,,,,,,,,,,,,1,,,,,,,,
Закатное небо пылает над полями.,,,,,,,,,,,,,1,,,,,,,,
Пустынное побережье уходит вдаль.,,,,,,,,,,,,,1,,,,,,,,
На лугу пасутся лошади.,,,,1,,,,,,,,,1,,,,,,,,
Горы обрамлены зелёным лесом.,,,,,,,,,,,,,1,,,,,,,,
По озеру плывут лебеди.,,,,1,,,,,,,,,1,,,,,,,,
Поля покрыты рябью колосьев.,,,,,,,,,,,,,1,,1,,,,,,
Зимний лес укутан снегом.,,,,,,,,,,,,,1,,,,,,,,
Грозовые облака нависли над океаном.,,,,,,,,,,,,,1,,,,,,,,1
Пустынный пейзаж простирается вдаль.,,,,,,,,,,,,,1,,,,,,,,
Река вьется среди берегов.,,,,,,,,,,,,,1,,,,,,,,
Горные вершины окружены облаками.,,,,,,,,,,,,,1,,,,,,,,1
Лес тонет в тумане.,,,,,,,,,,,,,1,,,,,,,,
Закат раскрашивает небо над озером.,,,,,,,,,,,,,1,,,,,,,,
Город скрывается в ночном тумане.,,,,,,,,,,,,,1,,,,,,,,
Поля усыпаны цветущими маками.,,,,,,,,,,,,,1,,1,,,,,,
Луг зеленеет под небом.,,,,,,,,,,,,,1,,,,,,,,
Прибрежный утёс омывается водой.,,,,,,,,,,,,,1,,,,,,,,
Горы утопают в зелени.,,,,,,,,,,,,,1,,,,,,,,
Поля блестят каплями утренней росы.,,,,,,,,,,,,,1,,,,,,,,
На озере качается лодка.,,,,,,,,,1,,,,1,,,,,,,,
Лес дышит мистическим туманом.,,,,,,,,,,,,,1,,,,,,,,
Закатное небо расстилается над горами.,,,,,,,,,,,,,1,,,,,,,,
Ветер гонит песок по пустынному побережью.,,,,,,,,,,,,,1,,,,,,,,
Река течет между горами.,,,,,,,,,,,,,1,,,,,,,,
Горный хребет окутан лёгким туманом.,,,,,,,,,,,,,1,,,,,,,,
На лугу танцуют бабочки.,,,,1,,,,,,,,,1,,,,,,,,
Океан простирается до горизонта.,,,,,,,,,,,,,1,,,,,,,,
На вершинах гор лежит снег.,,,,,,,,,,,,,1,,,,,,,,
Закат окрашивает пустынное побережье.,,,,,,,,,,,,,1,,,,,,,,
Река медленно течёт среди лугов.,,,,,,,,,,,,,1,,,,,,,,
Горные вершины скрыты в тучах.,,,,,,,,,,,,,1,,,,,,,,1
Поля усыпаны маками и подсолнухами.,,,,,,,,,,,,,1,,1,,,,,,
Остров окружён прозрачными волнами.,,,,,,,,,,,,,1,,,,,,,,
Горы поднимаются к небу.,,,,,,,,,,,,,1,,,,,,,,
На поле стоят стога сена.,,,,,,,,,1,,,,1,,,,,,,,
Горы утопают в тумане.,,,,,,,,,,,,,1,,,,,,,,
Ветер разносит песок по пустынному побережью.,,,,,,,,,,,,,1,,,,,,,,
Река вьётся среди холмов.,,,,,,,,,,,,,1,,,,,,,,
Горные вершины возвышаются над тучами.,,,,,,,,,,,,,1,,,,,,,,1
